svy,std
Alak,Chinese-Tibetan
Cheng,Mon-Khmer
Hmong,Hmong-Mien
Hor,Chinese-Tibetan
Kammu,Mon-Khmer
Katang,Mon-Khmer
Katu,Mon-Khmer
Ko,"Other, DK, Missing"
Kxame,"Other, DK, Missing"
Lamed,Mon-Khmer
Lao,Lao-Tai
La-ve,Mon-Khmer
Lavene,"Other, DK, Missing"
Leu,Lao-Tai
Makong,Mon-Khmer
Nge,"Other, DK, Missing"
others,"Other, DK, Missing"
Oy,Mon-Khmer
Pako,Mon-Khmer
Phounoi,Chinese-Tibetan
Phoutai,Lao-Tai
Pxong,Mon-Khmer
Samtao,Mon-Khmer
Talieng,Mon-Khmer
Ta-ou,Mon-Khmer
Tin,"Other, DK, Missing"
Tri,Mon-Khmer
Xouay,Mon-Khmer
Yang,Lao-Tai
Yao,"Other, DK, Missing"
Ye,Mon-Khmer
Youane,Lao-Tai
